YEAR,MONTH,DISTRICT,Brightness,Confidence,ThermalData,FRP,Fire_Count,LAT,LON
2012,4,taplejung,320.90000000000003,75.66666666666667,300.8333333333333,62.4,3,27.4,87.7
2012,4,terhathum,324.3666666666666,73.33333333333333,306.93333333333334,57.5,3,27.1,87.5
2012,4,udayapur,315.53333333333336,57.5,300.45,115.4,12,26.9,86.5
2012,5,achham,315.5444444444445,53.0,300.42962962962963,319.9,27,,
2012,5,arghakhanchi,315.40909090909093,55.72727272727273,300.6727272727273,160.5,11,27.9,83.2
2012,5,baitadi,315.38666666666666,56.53333333333333,300.6,150.2,15,29.5,80.5
2012,5,bajhang,325.2,62.25,304.27500000000003,102.6,4,,
2012,5,bajura,315.0,27.5,298.25,19.0,2,,
2012,5,banke,326.88524590163934,69.04918032786885,307.744262295082,1303.5,61,28.1,81.7
2012,5,bara,317.6,44.0,296.8,7.7,1,27.15,84.95
2012,5,bardiya,332.8514285714285,71.91428571428571,312.30285714285714,873.9,35,28.45,81.3
2012,5,bhojpur,312.7,55.0,299.20000000000005,13.1,2,,
2012,5,chitawan,318.86,51.4,302.73999999999995,75.1,5,27.7,84.4
2012,5,dadeldhura,317.21619047619043,61.83809523809524,301.247619047619,1326.7,105,29.3,80.6
2012,5,dailekh,319.0411764705882,63.94117647058823,302.5470588235294,212.9,17,28.8,81.7
2012,5,dang,324.59333333333336,69.26666666666667,307.0833333333333,466.0,30,28.05,82.4
2012,5,darchula,320.56666666666666,55.66666666666666,305.1333333333334,84.7,6,29.9,80.6
2012,5,dhading,320.4,52.0,306.2,7.0,1,27.7,85.2
2012,5,dhankuta,327.6,67.0,302.8,74.9,3,27.0,87.3
2012,5,dolakha,329.5,78.0,307.5,14.4,1,,
2012,5,dolpa,322.95,55.5,303.1,29.2,2,29.0,82.9
2012,5,doti,316.62571428571425,59.8,300.51428571428573,497.5,35,29.3,80.95
2012,5,gorkha,315.8,39.0,302.1,6.7,1,28.0,84.6
2012,5,humla,346.0,88.0,283.5,76.6,1,30.0,81.8
2012,5,jajarkot,314.2692307692308,55.61538461538461,299.5230769230769,168.9,13,,
2012,5,kailali,324.6347826086957,63.03260869565217,307.5586956521739,1326.7,92,28.7,80.8
2012,5,kanchanpur,323.52941176470586,66.82352941176471,307.1294117647059,457.7,34,29.0,80.2
2012,5,kapilbastu,319.91818181818184,65.63636363636364,302.42727272727274,167.9,11,,
2012,5,kathmandu,331.4,81.0,311.4,16.8,1,27.73,85.37
2012,5,khotang,315.48,45.0,300.68,53.2,5,,
2012,5,lalitpur,328.9,70.0,302.7,30.2,1,27.63,85.33
2012,5,makawanpur,310.04999999999995,50.0,293.70000000000005,19.3,2,,
2012,5,mugu,333.7,85.0,300.1,36.5,1,29.5,82.1
2012,5,nawalparasi,315.2,62.16666666666666,294.1666666666667,199.8,6,27.6,84.0
2012,5,okhaldhunga,326.425,66.75,310.225,44.3,4,27.3,86.5
2012,5,palpa,317.90000000000003,65.0,298.25,271.6,6,27.9,83.5
2012,5,panchthar,316.2,36.0,304.1,7.1,1,,
2012,5,parsa,319.9,32.0,298.7,31.7,1,,
2012,5,pyuthan,319.4888888888889,71.22222222222223,298.31944444444446,752.7,36,,
2012,5,rasuwa,331.275,72.0,303.075,120.2,4,28.1,85.3
2012,5,rolpa,325.6,55.0,304.3,19.5,1,,
2012,5,rukum,324.03125,65.375,300.675,417.8,16,28.65,82.35
2012,5,rupandehi,319.175,75.75,300.925,39.9,4,27.57,83.47
2012,5,salyan,322.29818181818183,67.98181818181818,303.3890909090909,1099.0,55,28.4,82.1
2012,5,sankhuwasabha,324.95,67.75,296.775,124.9,4,27.3,87.3
2012,5,sindhuli,323.05,44.5,303.35,72.5,6,27.2,85.9
2012,5,sindhupalchok,312.14,50.4,295.26,63.0,5,,
2012,5,surkhet,321.44897959183675,62.6530612244898,303.8234693877551,1322.3,98,28.75,81.4
2012,5,tanahu,301.3,39.0,290.9,4.4,1,,
2012,6,achham,323.05,75.6,300.58000000000004,256.4,10,,
2012,6,arghakhanchi,315.1,91.0,293.4,15.6,1,27.9,83.2
2012,6,baitadi,324.74,64.4,306.64,68.3,5,29.5,80.5
2012,6,banke,307.9,70.0,297.2,4.0,1,28.1,81.7
2012,6,bardiya,333.85,76.5,312.15,25.3,2,28.45,81.3
2012,6,dadeldhura,326.575,59.875,308.2125,104.4,8,29.3,80.6
2012,6,dailekh,303.15,50.0,290.95,16.9,2,28.8,81.7
2012,6,doti,316.5625,53.0,300.0125,136.3,8,29.3,80.95
2012,6,humla,323.95,55.0,300.65,54.3,2,30.0,81.8
2012,6,jajarkot,332.40000000000003,69.0,308.8666666666667,186.5,6,,
2012,6,jumla,319.375,52.625,295.3125,144.70000000000002,8,29.3,82.2
2012,6,kailali,322.5307692307692,66.23076923076923,304.5692307692308,188.2,13,28.7,80.8
2012,6,kalikot,324.53333333333336,69.83333333333333,296.95,387.9,6,,
2012,6,kanchanpur,322.95,45.0,304.25,64.8,2,29.0,80.2
2012,6,myagdi,327.06666666666666,71.33333333333333,292.4666666666667,136.20000000000002,3,28.4,83.6
2012,6,palpa,323.7,68.0,304.6,9.6,1,27.9,83.5
2012,6,pyuthan,312.4,60.3,296.93,81.5,10,,
2012,6,rolpa,332.8,64.0,307.4,22.1,1,,
2012,6,rukum,329.43999999999994,59.8,308.04,189.6,5,28.65,82.35
2012,6,rupandehi,350.1,93.0,309.2,38.6,1,27.57,83.47
2012,6,salyan,320.5869565217391,65.91304347826087,302.1521739130435,399.7,23,28.4,82.1
2012,6,surkhet,317.95,70.45833333333333,300.0833333333333,515.6,24,28.75,81.4
2012,7,mugu,316.0,35.0,295.3,49.8,1,29.5,82.1
2012,9,rupandehi,317.3,32.0,301.6,8.0,1,27.57,83.47
2012,10,bara,314.29999999999995,65.5,302.15,22.8,2,27.15,84.95
2012,10,bhojpur,316.7,63.0,306.2,9.1,1,,
2012,10,chitawan,309.3,26.0,295.9,4.6,1,27.7,84.4
2012,10,dadeldhura,304.5,20.0,292.0,3.2,1,29.3,80.6
2012,10,kapilbastu,313.1,63.0,300.3,7.0,1,,
2012,10,rukum,317.6,70.0,293.2,35.6,1,28.65,82.35
2012,10,taplejung,302.1,21.5,284.6,14.0,2,27.4,87.7
2012,11,achham,304.0,22.0,291.5,3.9,1,,
2012,11,baglung,332.6,88.0,286.6,73.5,1,28.3,83.6
2012,11,bajhang,312.72,55.1,287.53000000000003,311.2,10,,
2012,11,bajura,307.4833333333333,58.16666666666666,285.9166666666667,101.5,6,,
2012,11,bara,313.1,68.0,298.0,10.2,1,27.15,84.95
2012,11,dhading,309.3,44.0,288.4,8.3,1,27.7,85.2
2012,11,dolpa,314.7333333333333,32.0,298.0,40.8,3,29.0,82.9
2012,11,gorkha,316.05,58.75,294.525,59.1,4,28.0,84.6
2012,11,jajarkot,306.7,49.833333333333336,289.8833333333333,140.6,6,,
2012,11,jumla,305.6,39.0,290.35,14.5,2,29.3,82.2
2012,11,kalikot,311.975,58.0,295.425,42.9,4,,
2012,11,kanchanpur,313.3666666666667,68.16666666666667,296.93333333333334,70.9,6,29.0,80.2
2012,11,kapilbastu,314.5,66.0,301.7,8.1,1,,
2012,11,khotang,306.4,48.0,295.4,6.6,1,,
2012,11,lamjung,308.1666666666667,48.0,290.1,23.9,3,28.3,84.4
2012,11,mugu,312.88,64.4,291.06,82.2,5,29.5,82.1
2012,11,myagdi,306.9,41.5,294.1,16.1,2,28.4,83.6
2012,11,parsa,309.3333333333333,51.66666666666666,298.1,15.1,3,,
2012,11,rupandehi,311.94,55.4,298.84000000000003,34.5,5,27.57,83.47
2012,11,sankhuwasabha,309.2,29.0,290.6,10.1,1,27.3,87.3
2012,11,saptari,313.9,61.5,301.70000000000005,14.2,2,26.6,86.8
2012,11,sindhupalchok,309.9,60.0,291.6,10.4,1,,
2012,11,sunsari,321.8,77.0,300.2,14.8,1,26.75,87.3
2012,12,bajhang,318.2,63.2,292.32,101.7,5,,
2012,12,bajura,311.8333333333333,65.66666666666667,294.53333333333336,34.1,3,,
2012,12,chitawan,303.3,41.0,289.6,26.3,3,27.7,84.4
2012,12,dailekh,307.3,65.0,288.9,47.8,1,28.8,81.7
2012,12,darchula,309.9,69.0,281.5,27.5,1,29.9,80.6
2012,12,dhading,308.54,52.2,288.8,54.9,5,27.7,85.2
2012,12,dolpa,316.0833333333333,47.833333333333336,293.56666666666666,127.6,6,29.0,82.9
2012,12,gorkha,312.06,54.76,288.496,523.1,25,28.0,84.6
2012,12,humla,305.8,40.0,288.0,8.6,1,30.0,81.8
2012,12,jajarkot,303.70000000000005,28.5,287.95000000000005,12.3,2,,
2012,12,jhapa,329.95000000000005,84.5,296.7,176.5,2,26.7,87.9
2012,12,jumla,305.65,47.25,288.55,30.1,4,29.3,82.2
2012,12,kailali,300.5,37.0,282.8,4.2,1,28.7,80.8
2012,12,kalikot,311.9857142857143,56.142857142857146,286.24285714285713,127.8,7,,
2012,12,kaski,315.4,69.0,285.65,37.6,2,28.2,83.9
2012,12,lamjung,314.8,58.1875,289.13125,528.2,16,28.3,84.4
2012,12,makawanpur,304.3,57.0,290.8,6.0,1,,
2012,12,mugu,306.43333333333334,49.0,285.3,33.6,3,29.5,82.1
2012,12,myagdi,311.3333333333333,62.66666666666666,289.7333333333333,41.3,3,28.4,83.6
2012,12,panchthar,307.1,65.0,285.2,9.5,1,,
2012,12,parsa,308.9,62.0,296.74,30.5,5,,
2012,12,rasuwa,335.29375,78.4375,286.96875,2088.2,16,28.1,85.3
2012,12,rolpa,318.3,78.0,289.1,18.1,1,,
2012,12,rukum,307.6,39.333333333333336,290.1,29.3,3,28.65,82.35
2012,12,rupandehi,308.7,61.0,297.0,4.7,1,27.57,83.47
2012,12,sankhuwasabha,320.6,80.0,285.7,21.0,1,27.3,87.3
2012,12,saptari,316.07,68.4,297.87,174.0,10,26.6,86.8
2012,12,sindhupalchok,302.75,32.5,286.45,33.4,2,,
2012,12,sunsari,316.75,71.5,295.6,32.4,2,26.75,87.3
2012,12,taplejung,314.92857142857144,55.0,283.7285714285714,530.2,7,27.4,87.7
2013,1,arghakhanchi,305.35,45.0,293.1,15.3,2,27.9,83.2
2013,1,bajhang,313.0571428571428,58.095238095238095,287.45714285714286,1068.6,21,,
2013,1,bajura,306.575,52.0,288.4,35.4,4,,
2013,1,bara,306.4,63.0,291.6,6.0,1,27.15,84.95
2013,1,chitawan,316.05384615384617,70.6923076923077,294.8384615384616,190.6,13,27.7,84.4
2013,1,darchula,302.95000000000005,42.0,287.79999999999995,21.3,2,29.9,80.6
2013,1,dhading,316.525,59.75,288.2375,283.7,8,27.7,85.2
2013,1,dolakha,321.1666666666667,74.0,287.9666666666667,71.2,3,,
2013,1,dolpa,324.71666666666664,64.83333333333333,290.35,398.4,6,29.0,82.9
2013,1,gorkha,318.45714285714286,55.57142857142857,289.0928571428571,557.7,14,28.0,84.6
2013,1,humla,314.26666666666665,62.0,291.2333333333333,51.5,3,30.0,81.8
2013,1,jajarkot,307.1333333333333,40.333333333333336,286.96666666666664,48.0,3,,
2013,1,jhapa,306.1,58.0,294.6,4.2,1,26.7,87.9
2013,1,jumla,314.825,68.375,282.3375,226.1,8,29.3,82.2
2013,1,kalikot,304.7142857142857,40.285714285714285,287.07142857142856,91.8,7,,
2013,1,kaski,317.0307692307692,57.0,286.65384615384613,515.1,13,28.2,83.9
2013,1,lamjung,314.06666666666666,55.523809523809526,288.0904761904762,413.4,21,28.3,84.4
2013,1,mahottari,312.9,45.0,296.6,7.8,1,26.7,85.8
2013,1,morang,304.7,59.333333333333336,292.40000000000003,33.9,3,26.5,87.3
2013,1,mugu,306.45,31.5,289.225,44.9,4,29.5,82.1
2013,1,myagdi,306.2,53.5,286.75,16.6,2,28.4,83.6
2013,1,nawalparasi,311.3,70.0,298.2,8.2,1,27.6,84.0
2013,1,pyuthan,308.4,67.0,288.2,10.5,1,,
2013,1,rasuwa,312.14,69.8,280.9,73.30000000000001,5,28.1,85.3
2013,1,rautahat,302.6,53.0,291.5,3.5,1,,
2013,1,rukum,308.9166666666667,53.5,289.18333333333334,79.0,6,28.65,82.35
2013,1,saptari,308.45,54.5,295.25,32.5,2,26.6,86.8
2013,1,sindhupalchok,325.5,84.0,290.4,25.4,1,,
2013,1,solukhumbu,307.24,56.0,289.1,68.8,5,28.0,86.8
2013,1,sunsari,312.3333333333333,53.333333333333336,298.7333333333333,41.8,3,26.75,87.3
2013,1,syangja,304.0,41.0,292.8,4.7,1,28.0,83.85
2013,1,taplejung,309.95000000000005,52.5,274.3,26.1,2,27.4,87.7
2013,2,bajhang,308.54999999999995,60.5,288.35,20.7,2,,
2013,2,bara,310.25,47.5,298.85,18.8,2,27.15,84.95
2013,2,chitawan,313.61481481481485,57.2962962962963,298.04814814814813,411.8,27,27.7,84.4
2013,2,gorkha,305.25,35.0,291.5,14.2,2,28.0,84.6
2013,2,jhapa,316.6,64.0,302.1,7.6,1,26.7,87.9
2013,2,kanchanpur,309.7333333333333,61.66666666666666,297.7333333333333,22.9,3,29.0,80.2
2013,2,mahottari,319.54999999999995,58.0,303.65,17.4,2,26.7,85.8
2013,2,morang,314.4,43.0,302.9,4.8,1,26.5,87.3
2013,2,mugu,307.9,39.0,294.2,8.2,1,29.5,82.1
2013,2,nawalparasi,313.2,61.0,297.9,8.7,1,27.6,84.0
2013,2,nuwakot,313.45,71.0,296.15,18.5,2,27.85,85.25
2013,2,panchthar,313.0333333333333,56.0,295.93333333333334,113.9,3,,
2013,2,rukum,317.525,68.5,291.8,83.9,4,28.65,82.35
2013,2,sankhuwasabha,312.0066666666666,57.0,292.15333333333336,299.0,15,27.3,87.3
2013,2,sarlahi,315.3666666666666,61.66666666666666,301.1,29.4,3,27.0,85.45
2013,2,sindhupalchok,321.85,81.0,290.25,39.0,2,,
2013,2,siraha,312.9,45.0,301.9,5.6,1,,
2013,2,solukhumbu,300.8,23.0,289.9,9.0,1,28.0,86.8
2013,2,sunsari,324.7,80.0,298.1666666666667,80.80000000000001,3,26.75,87.3
2013,2,taplejung,312.625,66.25,289.2,76.7,4,27.4,87.7
2013,2,terhathum,314.08000000000004,53.0,299.06,71.8,5,27.1,87.5
2013,2,udayapur,314.6,64.5,296.6,23.3,2,26.9,86.5
2013,3,bajura,311.15,65.0,288.4,21.4,2,,
