YEAR,MONTH,DISTRICT,Brightness,Confidence,ThermalData,FRP,Fire_Count
2012,4,BANKE,323.1481012658228,63.12658227848101,305.5386075949367,2710.9,158
2012,4,BARA,326.4666666666667,63.19047619047619,306.7,292.6,21
2012,4,BARDIYA,323.79269230769233,58.58076923076923,305.05807692307695,4725.6,260
2012,4,BHOJPUR,316.14000000000004,56.4,300.46666666666664,190.3,15
2012,4,CHITAWAN,323.31756756756755,62.054054054054056,302.7108108108108,1302.9,74
2012,4,DADELDHURA,316.71666666666664,60.666666666666664,298.09999999999997,72.5,6
2012,4,DAILEKH,324.075,58.0,308.675,42.5,4
2012,4,DANG,321.7670886075949,62.87341772151899,305.61645569620254,2228.9,158
2012,4,DARCHULA,324.2,75.0,305.6,10.5,1
2012,4,DHADING,320.5785714285715,59.785714285714285,303.25,196.5,14
2012,4,DHANKUTA,317.90000000000003,73.33333333333333,297.56666666666666,83.2,3
2012,4,DHANUSHA,319.40000000000003,54.666666666666664,301.8,25.2,3
2012,4,DOLAKHA,317.04999999999995,58.5,302.65,18.4,2
2012,4,DOTI,315.86,58.5,298.49,132.7,10
2012,4,GORKHA,308.8,63.5,295.2,14.100000000000001,2
2012,4,GULMI,307.26000000000005,63.8,287.03999999999996,138.4,5
2012,4,ILAM,322.96666666666664,59.333333333333336,302.8666666666667,34.5,3
2012,4,JAJARKOT,322.55,55.5,303.075,110.6,4
2012,4,JHAPA,324.925,57.0,303.725,64.10000000000001,4
2012,4,KABHREPALANCHOK,321.4,61.75,303.925,64.30000000000001,4
2012,4,KAILALI,327.83690476190475,68.46428571428571,307.83809523809526,1657.3,84
2012,4,KANCHANPUR,327.075,65.58928571428571,305.59464285714284,1252.9,56
2012,4,KAPILBASTU,327.4241758241758,68.14285714285714,309.59120879120877,1825.9,91
2012,4,KHOTANG,317.84999999999997,61.5,301.40000000000003,80.5,6
2012,4,MAHOTTARI,322.575,58.166666666666664,303.5083333333333,184.70000000000002,12
2012,4,MAKAWANPUR,316.68888888888887,58.94444444444444,299.67777777777775,224.3,18
2012,4,MORANG,320.525,48.0,302.4125,116.6,8
2012,4,MYAGDI,331.04999999999995,79.5,300.0,55.5,2
2012,4,NAWALPARASI,323.22083333333336,62.458333333333336,304.628125,1543.6,96
2012,4,NUWAKOT,318.90000000000003,68.5,297.8833333333333,123.1,6
2012,4,OKHALDHUNGA,333.55,81.0,312.85,47.4,2
2012,4,PALPA,313.88,45.7,299.15,80.8,10
2012,4,PANCHTHAR,321.82,76.2,300.38,101.39999999999999,5
2012,4,PARSA,326.13466666666665,61.89333333333333,304.0973333333333,1237.3,75
2012,4,PYUTHAN,317.41052631578947,59.26315789473684,300.7894736842105,284.7,19
2012,4,RASUWA,302.8,51.0,290.5,7.9,1
2012,4,RAUTAHAT,317.475,68.75,301.65,37.6,4
2012,4,RUKUM,304.5,49.666666666666664,289.1666666666667,23.3,3
2012,4,RUPANDEHI,320.6884615384615,61.88461538461539,304.8346153846154,308.7,26
2012,4,SALYAN,320.9222222222222,52.31111111111111,304.5711111111111,571.4,45
2012,4,SAPTARI,321.5,62.0,305.1,12.9,1
2012,4,SARLAHI,317.62857142857143,61.142857142857146,301.14285714285717,56.8,7
2012,4,SINDHULI,315.21,55.93333333333333,298.42,310.8,30
2012,4,SINDHUPALCHOK,313.0,61.333333333333336,293.3,38.7,3
2012,4,SIRAHA,353.72499999999997,92.5,316.325,220.39999999999998,4
2012,4,SUNSARI,324.85,53.0,307.25,37.3,2
2012,4,SURKHET,321.31363636363636,57.39772727272727,304.0602272727273,1341.2,88
2012,4,TANAHU,321.7315789473684,63.1578947368421,302.0263157894737,278.8,19
2012,4,TAPLEJUNG,320.90000000000003,75.66666666666667,300.8333333333333,62.4,3
2012,4,TERHATHUM,324.3666666666666,73.33333333333333,306.93333333333334,57.5,3
2012,4,UDAYAPUR,315.53333333333336,57.5,300.45,115.4,12
2012,5,ACHHAM,315.5444444444445,53.0,300.42962962962963,319.9,27
2012,5,ARGHAKHANCHI,315.40909090909093,55.72727272727273,300.6727272727273,160.5,11
2012,5,BAITADI,315.38666666666666,56.53333333333333,300.6,150.2,15
2012,5,BAJHANG,325.2,62.25,304.27500000000003,102.6,4
2012,5,BAJURA,315.0,27.5,298.25,19.0,2
2012,5,BANKE,326.88524590163934,69.04918032786885,307.74426229508197,1303.5,61
2012,5,BARA,317.6,44.0,296.8,7.7,1
2012,5,BARDIYA,332.8514285714285,71.91428571428571,312.30285714285714,873.9,35
2012,5,BHOJPUR,312.7,55.0,299.20000000000005,13.1,2
2012,5,CHITAWAN,318.86,51.4,302.73999999999995,75.1,5
2012,5,DADELDHURA,317.21619047619043,61.838095238095235,301.247619047619,1326.7,105
2012,5,DAILEKH,319.0411764705882,63.94117647058823,302.5470588235294,212.9,17
2012,5,DANG,324.59333333333336,69.26666666666667,307.0833333333333,466.0,30
2012,5,DARCHULA,320.56666666666666,55.666666666666664,305.1333333333334,84.7,6
2012,5,DHADING,320.4,52.0,306.2,7.0,1
2012,5,DHANKUTA,327.59999999999997,67.0,302.8,74.9,3
2012,5,DOLAKHA,329.5,78.0,307.5,14.4,1
2012,5,DOLPA,322.95,55.5,303.1,29.2,2
2012,5,DOTI,316.62571428571425,59.8,300.51428571428573,497.5,35
2012,5,GORKHA,315.8,39.0,302.1,6.7,1
2012,5,HUMLA,346.0,88.0,283.5,76.6,1
2012,5,JAJARKOT,314.2692307692308,55.61538461538461,299.5230769230769,168.9,13
2012,5,KAILALI,324.6347826086957,63.03260869565217,307.5586956521739,1326.7,92
2012,5,KANCHANPUR,323.52941176470586,66.82352941176471,307.1294117647059,457.7,34
2012,5,KAPILBASTU,319.91818181818184,65.63636363636364,302.42727272727274,167.9,11
2012,5,KATHMANDU,331.4,81.0,311.4,16.8,1
2012,5,KHOTANG,315.48,45.0,300.68,53.2,5
2012,5,LALITPUR,328.9,70.0,302.7,30.2,1
2012,5,MAKAWANPUR,310.04999999999995,50.0,293.70000000000005,19.3,2
2012,5,MUGU,333.7,85.0,300.1,36.5,1
2012,5,NAWALPARASI,315.2,62.166666666666664,294.1666666666667,199.8,6
2012,5,OKHALDHUNGA,326.425,66.75,310.225,44.3,4
2012,5,PALPA,317.90000000000003,65.0,298.25,271.59999999999997,6
2012,5,PANCHTHAR,316.2,36.0,304.1,7.1,1
2012,5,PARSA,319.9,32.0,298.7,31.7,1
2012,5,PYUTHAN,319.4888888888889,71.22222222222223,298.31944444444446,752.7,36
2012,5,RASUWA,331.275,72.0,303.075,120.2,4
2012,5,ROLPA,325.6,55.0,304.3,19.5,1
2012,5,RUKUM,324.03125,65.375,300.675,417.8,16
2012,5,RUPANDEHI,319.175,75.75,300.925,39.9,4
2012,5,SALYAN,322.29818181818183,67.98181818181818,303.38909090909095,1099.0,55
2012,5,SANKHUWASABHA,324.95,67.75,296.775,124.9,4
2012,5,SINDHULI,323.05,44.5,303.34999999999997,72.5,6
